id,label,href,icon,badge,badge_variant,targets,sort_order,is_enabled,is_divider_before,required_permission,required_group,required_role,created_at,updated_at,created_by,metadata
custom-1776274116081,Directory Settings,/t/${tenantId}/settings/directory,"","",default,{tenant},64,t,f,"",IS_TENANT_MANAGER,"",2026-04-15 17:36:24.415+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1777368780403"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776274355337,Store Reviews,/t/${tenantId}/reviews,chat,"",default,{tenant},65,t,f,"",IS_TENANT_MANAGER,"",2026-04-15 17:36:24.757+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776274025839"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776272500698,My Inventory,"",admin,"",default,{tenant},6,t,t,"",IS_TENANT_USER,"",2026-04-15 17:09:47.791+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776269185993,Order Management,/t/${tenantId}/orders,"","",default,{tenant},38,t,f,"",IS_TENANT_MANAGER,"",2026-04-15 16:08:57.93+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776269092634"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776269265943,Payment Gateways,/t/${tenantId}/settings/payment-gateways,"","",default,{tenant},39,t,f,CAN_MANAGE_TENANT_BILLING,IS_TENANT_MANAGER,"",2026-04-15 16:08:57.997+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776269092634"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776272632908,Inventory Center,/t/${tenantId}/items,"","",default,{tenant},41,t,t,"",IS_TENANT_USER,"",2026-04-15 17:09:50.225+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776272500698"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776272675558,Add Product,/t/${tenantId}/items/create,products,"",default,{tenant},42,t,f,"",IS_TENANT_USER,"",2026-04-15 17:09:50.294+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776272500698"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776272860919,Quick Start,/t/${tenantId}/quick-start,quickstart,"",default,{tenant},43,t,f,CAN_MANAGE_TENANT_INVENTORY,IS_TENANT_MANAGER,"",2026-04-15 17:09:50.503+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776272500698"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776272801629,Barcode Scan,/t/${tenantId}/scan,products,"",default,{tenant},44,t,f,CAN_MANAGE_TENANT_INVENTORY,IS_TENANT_USER,"",2026-04-15 17:09:50.432+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776272500698"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776272914053,Categories,/t/${tenantId}/categories,categories,"",default,{tenant},45,t,f,CAN_MANAGE_TENANT_INVENTORY,IS_TENANT_USER,"",2026-04-15 17:09:50.572+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776272500698"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776272982768,Featured Products,/t/${tenantId}/settings/featured-products,products,"",default,{tenant},46,t,f,CAN_MANAGE_TENANT_INVENTORY,IS_TENANT_USER,"",2026-04-15 17:09:50.64+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776416917164"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776236817068,Control Panel,/settings/admin,admin,"",warning,"{all,tenant,admin}",68,t,t,CAN_SUPPORT_PLATFORM,"","",2026-04-15 07:07:06.123+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776195918418,Capacity Center,/settings/admin/capacity/overview,shield,"",default,{admin},69,t,f,"","","",2026-04-14 20:21:11.532+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776195589149"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776274861751,Square POS,/t/${tenantId}/settings/integrations/square,credit-card,"",default,{tenant},54,t,f,"",IS_TENANT_MANAGER,"",2026-04-15 17:41:17.547+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776274655551"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776277071507,Team Members,/t/${tenantId}/settings/users,"","",default,{tenant},57,t,f,CAN_MANAGE_TENANT_USERS,"","",2026-04-15 18:48:34.044+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776276917946"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776277108746,Appearance,/t/${tenantId}/settings/appearance,"","",default,{tenant},58,t,f,"",IS_TENANT_USER,"",2026-04-15 18:48:34.115+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776276917946"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776277151158,Language & Region,/t/${tenantId}/settings/language,"","",default,{tenant},59,t,f,"",IS_TENANT_USER,"",2026-04-15 18:48:34.188+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776276917946"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776277019273,Store Profile,/t/${tenantId}/settings/tenant,admin,"",default,{tenant},60,t,f,CAN_MANAGE_TENANT_SETTINGS,"","",2026-04-15 18:48:33.972+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776274025839"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776277197274,Subscription Center,/t/${tenantId}/settings/subscription,"","",default,{tenant},61,t,f,CAN_MANAGE_TENANT_BILLING,IS_TENANT_ADMIN,"",2026-04-15 18:48:34.26+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1777134991750"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776277240097,Onboarding,/t/${tenantId}/settings/onboarding,"","",default,{tenant},62,t,f,CAN_MANAGE_TENANT_SETTINGS,"","",2026-04-15 18:48:34.33+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1777434333697"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776276968937,Store Settings,/t/${tenantId}/settings,"","",default,{tenant},63,t,f,"",IS_TENANT_MANAGER,"",2026-04-15 18:48:33.9+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776276917946"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776272739014,Product Catalog,/t/${tenantId}/catalog,products,"",default,{tenant},66,t,f,"","","",2026-04-15 17:09:50.363+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776416917164"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776280631866,My Profile,/settings/profile,user,"",default,"{all,tenant,admin}",73,t,t,"",IS_TENANT_USER,"",2026-04-15 19:17:25.212+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776277320507"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
